Owner,Player,Player_id,Match_1,Match_2,Match_3,Match_4,Match_5
Ash,Chetan Sakariya,1131754,,,,,
Ash,Jasprit Bumrah,625383,,-9.0,,,
Ash,Riley Meredith,961713,,,,,
Firi,Tushar Deshpande,822553,,,,,
Firi,Jos Buttler,308967,61.0,,,,
Firi,Romario Shepherd,677077,72.0,,,,
Firi,Rohit Sharma,34102,,73.0,,,
Firi,Abhishek Sharma,1070183,-5.0,,,,
Firi,Riyan Parag,1079434,27.0,,,,
Firi,Gurkeerat Singh Mann,537124,,,,,
Firi,Finn Allen,959759,,,,,
Firi,Nitish Rana,604527,,,,,44.0
Firi,Dwaine Pretorius,327830,,,,,
Firi,Rajvardhan Hangargekar,1175429,,,,,
Firi,Kagiso Rabada,550215,,,,,
Firi,Mayank Markande,1081442,,,,,
Firi,Ravisrinivasan Sai Kishore,1048739,,,,,
Firi,Mohammed Siraj,940973,,,31.0,,
Firi,Krunal Pandya,471342,,,,102.0,
Firi,Faf du Plessis,44828,,,249.0,,
Shar,Andre Russell,276298,,,,,30.0
Shar,Arshdeep Singh,1125976,,,46.0,,
Shar,Mahipal Lomror,853265,,,,,
Shar,Jonny Bairstow,297433,,,,,
Shar,Rahul Tewatia,423838,,,,75.0,
Shar,Yash Dhull,1292498,,,,,
Shar,Dominic Drakes,906749,,,,,
Shar,Robin Uthappa,35582,,,,,46.0
Shar,Maheesh Theekshana,1138316,,,,,
Shar,Jayant Yadav,447587,,,,,
Shar,Shreyas Iyer,642519,,,,,71.0
Shar,Murugan Ashwin,528067,,103.0,,,
Shar,Dewald Brevis,1070665,,,,,
Shar,Rovman Powell,820351,,8.0,,,
Shar,Akash Deep,1176959,,,,,
Shar,Harshal Patel,390481,,,30.0,,
